Paper Title,Paper Type,Parametric Methods,Am Technologies,Customization Approach,Key Findings,Application Domain,Scalability Aspects
REDEFINING PRODUCT FAMILY DESIGN FOR ADDITIVE MANUFACTURING,applied research,Not mentioned in source.,Not mentioned in source.,"Customization is achieved by defining a customization space and optimizing individual products using a utility-based objective function, then identifying exploitable commonalities and incorporating an AM cost model to assess effects of reduced commonality [11].","The proposed AM-aware product family design method yields significant performance improvements over conventional methods and maintains consistently low customization cost, enabling affordable customization without compromising individual product performance [11].",Product design (mechanical components) — demonstrated with a family of finger pumps [11].,"Scalability and variation are addressed by allowing elimination of commonality constraints to expand design space and using an AM cost model to keep customization costs low, supporting scalable customization [11]."
Design Automation for Mass Customisation via Additive Manufacture: A Case Study on Continuous Positive Airway Pressure Mask,case study,"Parametric design approach using a large-scale statistical shape model learnt from 9,663 facial scans [12], with an automated pipeline that generates CAD from a single facial image [12].",Additive Manufacturing (AM) generally discussed as the production technology enabling one-off/custom items; specific AM processes or machines are not mentioned in the provided text [12].,"Customization achieved via an automated parametric pipeline that uses a single facial image to generate a patient-specific CPAP mask CAD model rapidly, removing manual CAD steps and simplifying data acquisition [12].","Demonstrated a fully automated parametric pipeline for creating patient-specific CPAP mask CAD models from a single photograph, trained on a large statistical shape model of 9,663 scans; achieved rapid CAD generation (<1 minute), significant reduction in design time and removal of manual modelling, and proposed transferability of the workflow to other wearables to promote AM adoption for mass customization [12].",Medical devices / wearables (case study on CPAP mask) [12].,"Scalability enabled by AM's low tooling cost for one-off items and by automated design pipeline which reduces per-item design cost and time, allowing broader adoption and potential application to other wearables [12]."
Product customization and generative design,applied research,"The paper describes parametric/generative (algorithmic) design methods, emphasizing computer-based mathematical/algorithmic modeling and parameter-driven geometry where changing parameters creates variants [13].","Discusses additive manufacturing/3D printing as the enabling fabrication technology, including selective laser sintering and 3D-printed soles/garments and complex lattice/internal mesh fabrication enabled by AM [13].","Customization is achieved by parameter-driven generative workflows that produce many variants from specified requirements and by user-input data (e.g., body scans) to generate personalized geometries for 3D printing [13].","Generative/parametric design enables rapid creation of many product variants, can produce novel shapes beyond designer intuition, and when combined with AM allows manufacture of complex, optimized internal structures leading to weight and performance gains [13].","Application domains include automotive, aerospace, architecture, footwear, jewellery, and apparel (product design and architecture) [13].",Scalability and variation are addressed through algorithmic generation of large numbers of design iterations and immediate parametric feedback enabling rapid variant generation and selection; examples cite tens of thousands of iterations versus manual dozens [13].
PARAMETRIC MODELING OF BIO-INSPIRED LUMINAIRES FOR ADDITIVE MANUFACTURING TECHNOLOGIES,applied research,"Parametric modeling is performed using Grasshopper (a Rhinoceros plugin) for generating textures and complex geometries, with further refinement and dimensional control in SolidWorks [14].","Additive manufacturing technologies used are Fused Filament Fabrication (FFF) and Fused Granular Fabrication (FGF), with specific machines WASP 4070 pro (FFF) and Discovery 3D Granza (FGF) mentioned [14].","Customization/personalization is achieved via parametric scripts that vary parameters to modify geometry and textures (including controlled randomness), and by modular parts whose dimensions (e.g., heights) can be altered to change function or appearance [14].","Key findings: Parametric modeling combined with AM and sustainable materials enables development of functional bio-inspired luminaires; the paper presents a defined methodology/workflow from concept to modeling and manufacture; outcomes can add cultural/environmental value by valorizing local materials (e.g., cork) [14].",Application domains: product design (lighting/luminaires) with potential extension to architecture (facades) and urban furniture; use of local/sustainable materials is emphasized [14].,"Scalability and variation addressed via parameter-driven variation in parametric models enabling easy modification of geometry [14]; manufacturing constraints (nozzle size, layer height) are considered and leveraged (e.g., vase mode in FGF) to scale detail vs production speed and to process different materials, supporting variation and production trade-offs [14]."
An interactive product customization framework for freeform shapes,applied research,"The system uses interactive geometric operations to define and edit styling curves on reference freeform models, i.e., parametric/interactive curve-based modeling for customization [15].",Additive manufacturing / 3D printing is the targeted fabrication technology for producing the customized freeform shapes described in the paper [15].,"Customization is achieved by letting users interactively define and edit styling curves on reference freeform models, which are then converted into 3D-printable geometry via a fabrication interface [15].","The prototype was validated across four example applications (hollow patterned bicycle helmet; T-rex with skin frame structure; face mask with Voronoi patterns; AM-specific night dress with hollow patterns), demonstrating the system's ability to produce varied freeform, AM-tailored designs, and the prototype is publicly available [15].","Product design / digital fabrication applications (consumer products, wearable items, and figurative objects) [15].","Scalability and variation are addressed through AM's capacity to fabricate complex geometries without tooling, and by supporting user-driven parametric edits of styling curves to generate multiple design variants; explicit scalability analyses are not mentioned in source [15]."
An additive manufacturing process model for product family design,applied research,Not mentioned in source.,"The study uses Fused Deposition Modeling (FDM) as the primary AM technology, mentioning it as a layer-by-layer extrusion process [16]. A Panowin F321 FDM printer was used in the case study [16], and Polylactic Acid (PLA) was the feedstock material [16].","Customization is achieved by using topology optimization to generate optimal, variant-specific geometries for each product variant, exploiting AM's ability to fabricate complex, tool-free parts [16]. The model evaluates many designs and selects suitable ones based on combined performance and cost metrics [16], with final realization via FDM fabrication [16].","The model can enable affordable customization by integrating topology optimization, FEA and cost modeling to select product family designs; physical fabrication and testing validated the approach [16]. It increases customization compared to traditional product family methods by exploiting AM capabilities while balancing cost and performance [16]. FEA predictions matched experimental deflections within expected material property bounds [16].",Product design / mechanical components (case study on cantilever beams) [16].,"Scalability is addressed by defining a 'scalable product family' where platform parameters (dimensions/material fraction) are varied to generate a continuum of variants; the model evaluates an effectively infinite design space via topology optimization and interpolates performance and cost to select designs, enabling variation and scaled customization [16]."
PULSE: Integrated Parametric Modeling for a Shading System : From Daylight Optimization to Additive Manufacturing,applied research,"The paper uses parametric modeling and computational optimization loops as core methods, supported by detailed parametric models for structural and manufacturing constraints [17].","Additive manufacturing / 3D-printing is the primary digital fabrication technology discussed, with emphasis on minimizing material use and 3D-printing time [17].","Customization is achieved by generating individually unique sun-shading panels optimized for local daylighting requirements and viewing areas, using parametric models and optimization loops [17].","Key contributions: demonstrating parametric models as an integrative tool for multidisciplinary constraints (daylight optimization through to AM), and showing how parametric modelling controls geometric complexity and integrates structural and AM constraints [17].",Architecture / building facade systems (shading systems) [17].,"Scalability and variation are addressed by using simplified models and parametric optimization loops for iterative exploration, and by integrating AM constraints to minimize material and printing time, enabling production of multiple unique panels efficiently [17]."
Parametric design and adaptive sizing of lattice structures for 3d additive manufacturing,applied research,"Parametric geometric parameterization using bounding-box dimensions, aspect ratios, and thickness to define lattice unit-cell geometry; analytical automation with a rigidity model using 3D beam elements for adaptive sizing and mechanical parameter adjustment [18].","3D additive manufacturing (general 3D printing) with reference to material extrusion (MEX) benchmark lattices (cross, hexagonal) and use of FEM validation tools (ANSYS Mechanical) for manufacturability and structural analysis [18].","Customization via fully parameterized lattice unit cells: adjusting bounding-box dimensions, aspect ratios and thickness to tailor geometry to load states and constraints, coupled with analytical/numerical (FEM) validation and manufacturability simulations to ensure printable, support-free designs [18].",Proposed pyramidal lattice achieves superior structural efficiency (better mass-to-displacement ratio) compared to cross and hexagonal lattices; analytical rigidity model validated by FEM shows consistent structural predictions; design is manufacturable without supports in 3D printing simulations [18].,Industrial design engineering / product components (plastic parts) for additive manufacturing applications [18].,Scalability via parametric definition and superposition: unit-cell parameterization allows scaling and tiling into matrices; analytical rigidity models enable evaluation of larger assemblies and adaptation to varying load/boundary conditions [18].
A Parametric Product Design Framework for the Development of Mass Customized Head/Face (Eyewear) Products,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Customization is achieved by a parametric modelling algorithm that uses measured parameter points from scanned 3D head models (defined using planimetry) to generate individualized 3D face models which serve as reference geometry for customized eyewear design [19].,Developed a parametric design method for mass-customised head/face products; discussed challenges and opportunities for mass-customized head/face products and potential of parametric approaches to enable rapid manufacturing and mass customization; explored implementation of a parametric design framework as an early-stage NPD strategy [19].,"Head/face products, specifically customized eyewear [19].",Scalability and variation are addressed by using a parametric model driven by measurable parameters from multiple scanned head models to automatically generate individualized 3D face references for designing multiple variations of eyewear [19].
Design for Mass Customization using Additive Manufacture: Case-Study of a Balloon-Powered Car,case study,Not mentioned in source.,Fused Deposition Modeling (FDM) using uPrint SE Plus [20].,"Customization is achieved by students individually designing the car body and wheels, producing 2300 unique designs, and applying AM process constraints upfront in the design to limit design-print iterations [20].",Nine AM process constraints were identified to limit design-print iterations to at most one [20]; nearly all of the 2300 fabricated unique designs functioned as intended with only one set of wheels and initial car bodies (missing press-fit joint) failing [20].,Educational product design (student projects / instructional case study) [20].,Demonstrated scalability by producing 2300 unique designs using predefined AM constraints that enabled high first-iteration success and reduced iteration cycles [20].
Customer driven mass-customisation and innovative product development with parametric design & generative modeling,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,"Customization is achieved through parametric design and generative modelling which enable rapid development of product varieties, improved customer-company communication and involvement, and reduced time to market via faster product design and 3D modelling [21].",The paper presents key challenges in designing mass-customized products and highlights successful case studies and solutions for mass-customisation [21].,"Product design and related services, involving 3D modelling and product development processes [21].",Scalability and variation are addressed by enabling rapid development of product varieties and reducing time to market through faster design and 3D modelling [21].
The value of personalised consumer product design facilitated through additive manufacturing technology,applied research,Not mentioned in source.,Not mentioned in source.,"Personalisation is achieved by enabling end-users to manipulate 3D designs via easy-to-use design toolkits, assessing user-perceived value and WTP through surveys, and providing designers with a formal added-value identification method (V+APP Design Method workbook) to prepare personalisable product designs [22].",Personalisation increases product value by better matching user preferences [22]; there is a lack of design methods/tools to exploit AM for personalisation [22]; the developed added-value identification method (V+APP) is promising to help designers identify value-adding personalisation features [22].,Consumer product design [22].,Not mentioned in source.
OPORTUNIDADES DE LA FABRICACIÓN ADITIVA PARA OPTIMIZAR EL DISEÑO DE PRODUCTOS,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,"The paper states that additive manufacturing greatly increases design freedom in geometry, topology and functionality [23], and studies opportunities to optimize products for additive manufacturing to achieve more personalized and lighter products [23].",Design [23],Not mentioned in source.
Additive manufacturing and its effect on sustainable design,chapter / review,"The chapter references parametric modeling and parametric design representations (3D CAD models and parametric modeling methods) as part of the AM design workflow; specific tools (e.g., Grasshopper) are not named in the text [24].","Discusses the full ASTM F2792 taxonomy of AM technologies: material extrusion (FDM), powder bed fusion (SLS, SLM, DMLS, EBM), vat photopolymerization (SLA), material/binder jetting, sheet lamination (LOM), and directed energy deposition; the chapter also discusses specific systems (e.g., Fortus 450mc) and process details [24].","Customization/personalization is achieved via digital CAD/STL workflows and on-demand printing (print-on-demand), enabling one-off or short-run bespoke parts without tooling; the chapter emphasizes designer-maker workflows and distributed manufacturing as mechanisms for user-specific adaptation [24].","Findings: AM enables sustainability opportunities (material efficiency, lightweighting, part consolidation), supports extensive customization and distributed on-demand production, and enables new DFAM/DFP methods (topology optimization, lattice/cellular design). However, the authors call for more quantitative research and lifecycle-integrated design methods; they propose a sustainable DFAM methodology and show a case study (triple clamp) demonstrating reduced parts count and lower environmental impacts [24].","Application domains covered include aerospace, automotive, biomedical, consumer products, jewellery, furniture, designer-maker/craft contexts, and an applied case study in motorcycle components (triple clamp) [24].","Scalability and variation are addressed via digital parametric/voxel-based modeling enabling high degrees of design freedom, topology optimization and lattice/cellular structures for lightweighting, part consolidation to reduce part counts, and distributed on-demand manufacturing to scale production geographically; the chapter also discusses limitations (energy, support material, post-processing) and need for lifecycle-aware optimization [24]."
A Cost-Driven Design Methodology for Additive Manufactured Variable Platforms in Product Families,applied research,Not mentioned in source.,Not mentioned in source.,"Customization is achieved via an additive manufactured 'variable product platform' concept combined with a process setting platform; design and process adjustments are constrained within a bounded feasible space to limit cost increases [25], and platform parameter limits are computed with a Mamdani-type expert system and used as constraints in design optimization to maximize customer perceived utility [25].",A fuzzy time-driven activity-based costing method (FTDABC) with ANFIS is used to estimate AM production costs based on process settings [25]; the feasible space boundary for process adjustments is found via multi-objective optimization [25]; case studies show optimized variable platforms improve performance at lower cost than consistent platform-based designs [25].,Product design (consumer product: R/C racing car family) [25],"Scalability and variation are managed by constraining design and process adjustments within a bounded feasible space to limit cost increments [25], and by computing platform parameter limits via an expert system used as optimization constraints to support scalable variation while optimizing customer utility [25]."
Cloud-Based Automated Design and Additive Manufacturing: A Usage Data-Enabled Paradigm Shift,review,"The paper discusses parametric design models and highly parametric/root-design approaches for automated adaptation of designs, including storing design parameter values for variant generation and extending parametric design to include local material properties [26].","AM is central: the paper names AM process classes (material extrusion, material jetting, powder bed fusion, directed energy deposition, binder jetting, sheet lamination, vat photopolymerization) and highlights directed energy deposition and multi-material approaches for sensor integration and local property control [26].","Customization/personalization is achieved via a Usage Data-Enhanced Cloud-based Design and Manufacturing (UDE-CBDM) workflow: products collect usage/PEID data into a cloud repository; a DaaS (Design-as-a-Service) tool uses root-design parametrization and usage data to adapt parameter values and generate individualized variants; AM fabricates variants, enabling tailor-made production and mass-customization [26].","Key findings: authors propose the UDE-CBDM paradigm combining usage-data, cloud services (DaaS), parametric/automated design, and AM; AM enables item-level customization and sensor integration but technical gaps remain (no single AM process for full 3D sensor integration, multi-material challenges, software/toolchain gaps); many enabling components exist yet integration, certification, privacy/security, and virtual testing remain open research needs [26].","Application domains covered: medical implants (patient-specific implants/prosthetics), robotics (robot components and closed-loop adaptive systems), and consumer products (athletic shoes/mass-customization); also broader mentions of tools, tooling, spare parts, and IoT-enabled products [26].","Scalability and variation: the paper situates AM in Conner et al.'s regions, highlighting AM's role in mass-customization (Region VI) and discusses storing parameter sets for scalable variant generation; cloud infrastructure and multi-agent systems are proposed to scale data processing and distributed manufacturing, but current MAS prototypes and AM production rates present scalability limits that require development [26]."
Geometric Variability in Parametric 3D Models: Implications for Engineering Design,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,"The paper emphasizes the importance of robustness, flexibility, and responsiveness to geometric variations in parametric 3D modeling [27], documents inefficient industrial parametric modeling practices and their detrimental effects on engineering activities such as design changes, optimization, simulation, and product/part family configuration [27], notes impacts on generative design, AI-based parametric modeling, and MBSE [27], and calls for research to improve parametric model quality [27].","Engineering design and product development, including product/part family configuration and Model-Based System Engineering (MBSE) [27].","The paper discusses scalability-related concerns by stressing robustness, flexibility, and responsiveness to geometric variations as necessary for handling variation and product/part family configuration, and by identifying how low-quality parametric models hinder design changes, generative design, optimization and simulation which affect scalable variation management [27]."
Customized Design for Ergonomic Products via Additive Manufacturing Considering Joint Biomechanics,applied research,Not mentioned in source.,Discusses additive manufacturing (AM) as the fabrication method [28].,Customization achieved by building ergonomic models from joint biomechanics and reconstructing anatomical geometry using imaging and 3D scanning [28]; applying those models to design custom shoes/insoles [28]; and using lattice structures with variable porosity via topology optimization to tailor mechanical properties and fit [28].,"Shows that the customized design method enables tailored wearable ergonomic products via 3D printing with reduced cost, time, and material consumption, and that FEA can simulate biomechanical performance to support design validation [28].",Wearable ergonomic products (shoes and insoles) for rehabilitation/medical applications [28].,"Addresses variation and scalability by using topology-optimized lattice structures with variable porosity to tune properties across customized designs [28], and claims efficiency gains (lower cost, time, materials) that support scalable customization workflows [28]."
User Driven Custom Design - the solution to simplify customisation according to consumer needs,case study,"Parametric design methodology based on ergonomic analysis and anthropometry, supported by a 3D modelling component for direct parts customization, and integration with a Users' Behaviour Model that parameterizes patient data for fitting [29].",Additive manufacturing technologies are mentioned as the production method for customized accessories and tools; specific AM processes are not detailed in the source [29].,"Customization is achieved via a user-facing web configuration platform allowing selection and direct customization of wheelchair components (frame, accessories, cushion, footrest), combined with parametric modelling driven by anthropometric and behavioural data and a recommendation engine to map user inputs to product specifications [29].","The approach enables customer-driven customization while reducing time, cost, material waste, and unnecessary machining through anthropometry-driven parametric design; it demonstrates replication and scale-up potential in medical applications [29].","Medical devices (wheelchairs) as the primary case study, with suggested applicability to fashion, furniture, and sports equipment [29].",Scalability is discussed in terms of replication and scale-up potential in medical domain and enabling mass customization via AM for accessories and tools; specifics on production scale or process scaling are not provided [29].
Parametric Topology Optimization Toward Rational Design and Efficient Prefabrication for Additive Manufacturing,applied research,"The paper uses parametric level-set based topology optimization methods, specifically a distance-regularized parametric level set approach [30].",Stereolithography (SLA) additive manufacturing is the primary AM technology discussed; the framework outputs mask images directly usable in the AM process [30].,"Customization is enabled through topology optimization that can produce multiscale and multimaterial structures, supporting mass customization by creating designs with high geometric complexity [30].","The framework reduces prefabrication computational cost by integrating parametric topology optimization with SLA-aware outputs and a prefabrication-friendly procedure, verified by simulation and experiments showing significant cost reduction without sacrificing design intent or functionality [30].",Product/structural design domain demonstrated via test examples: a free-form 3D cantilever beam and a multiscale meta-structure [30].,Scalability and variation are addressed by generating multiscale and multimaterial structures and by reducing prefabrication numerical complexity to make production of complex or mass-customized variants computationally feasible [30].
Mathematical pattern for parametric design: the case study of Grey-Scott cross diffusion model,applied research,Not mentioned in source.,Not mentioned in source.,"Customization is achieved by varying input parameters of a Grey-Scott reaction-diffusion model to generate many patterns [31], using those patterns for customization of objects produced via additive manufacturing (3D printers) [31], and producing a catalog of objects generated through a visual script with patterns mapped onto customizable target surfaces [31].","The study demonstrates the feasibility of generating a large, potentially infinite catalog of unique patterns and objects via a visual script using the Grey-Scott reaction-diffusion model [31], and that these mathematically generated patterns enable production of complex, unique pieces quickly through additive manufacturing [31].",Product design / digital fabrication (objects and prototypes for AM) [31].,"Scalability and variation are addressed by parameter variation in the reaction-diffusion model, enabling generation of a large or potentially infinite catalog of patterns and objects via an automated visual script [31]."
PLM Process and Information Mapping for Mass Customization Based on Additive Manufacturing,applied research,"The paper uses parametric CAD modeling for product variation, explicitly describing a parametric product and parameterized geometry (gutter shaped by parameters) with 22 parameters controlling cross-section ellipses [32]. It references 3D modeling systems and CAD workflows (STL export) as part of the parametric pipeline [32].","The paper discusses additive manufacturing broadly and lists technologies including SLA, SLS, and FDM [32]. The implemented scenario uses low-cost FDM (3D Cloner ST) with PLA material and specified build volume constraints [32]. The paper also describes AM's layer-wise process [32].",Customization is achieved via client-provided data (elicitation) that parametrically generates a unique geometry variant for each customer; variants are tracked with unique IDs and managed through PLM (elicitation → parametric design → AM manufacturing) [32].,"The paper demonstrates a PLM+AM enabled tailored customization scenario and maps the process and information flows required to support customer-specific parametric product variants, concluding that integration of lifecycle information with manufacturing is critical for MC and that tailored customization remains challenging in industry [32].","Assistive technology / medical assistive devices (forearm support) in a product-design context; the paper also references broader AM application domains such as aerospace, automotive, and biomedical [32].",Scalability is addressed conceptually through mass customization aims and PLM-managed product structure/variant management to handle many individualized variants; the paper demonstrates parameterization (22 parameters) and modular architecture to increase variety while noting the need to manage data and process integration for scalability [32].
An Ergonomic Customized-Tool Handle Design for Precision Tools using Additive Manufacturing: A Case Study,case study,"The paper uses a 3D parametric CAD model where median diameter (DM) is the primary scaling parameter; other geometric parameters (DS, DI, R1, R2) are defined as ratios to DM and the model is scaled to surgeon hand size [33].",Additive manufacturing via 3D printing (rapid prototyping) using ABS plastic for fabrication of physical prototypes and customized handles; general reference to 3D printing benefits [33].,"Customization is achieved by measuring the surgeon's Palm Length Measured (PLM), computing DM = PLM / 2.967, then scaling the 3D parametric CAD model accordingly and fabricating the customized handle by 3D printing; examples of scaled CAD models were produced and tested [33].","The study demonstrates scalable 3D parametric handle designs that adapt to individual surgeon hand sizes, identifies PLM as a single reliable anthropometric predictor for scaling, and shows that additive manufacturing combined with ergonomic criteria enables efficient customized production and successful validation with surgeons [33].",Primary application domain: medical devices (laparoscopic surgical instrument handles); authors note potential applicability to other sectors [33].,"Scalability is implemented via a single scaling parameter DM with fixed geometric ratios for other dimensions (DS, DI, R1, R2), enabling rapid generation of multiple size variants; validated by producing physical prototypes via rapid prototyping for many subjects [33]."
